9123 224
71 68 63
75 82 74
81 70 82
88 89 83
64 65 61
83 75 90
71 80 90
83 60 81
79 86 85
83 77 60
86 89 86
87 78 87
69 81 65
83 86 78
90 87 71
90 70 75
81 65 74
65 72 83
73 81 87
60 79 60
69 82 76
75 64 85
81 88 60
76 74 70
72 65 86
60 70 82
81 79 74
66 71 76
76 63 74
76 63 87
64 72 75
70 69 62
85 67 88
90 83 64
87 86 81
68 71 84
84 76 68
76 84 90
65 67 89
67 77 66
62 73 68
76 64 85
86 62 83
65 80 80
61 71 67
76 80 60
88 88 79
72 85 78
68 90 88
87 60 81
85 70 90
62 74 60
74 79 61
90 68 74
73 62 90
89 89 76
72 69 69
76 79 64
80 73 75
73 61 82
75 87 85
76 86 66
77 79 61
76 73 80
89 86 80
77 83 84
85 66 81
60 79 70
86 75 88
83 67 64
85 74 83
67 70 89
65 66 67
67 63 75
64 69 81
86 74 84
82 83 61
82 88 63
69 67 86
74 85 67
68 77 87
88 80 62
69 68 80
71 68 81
79 85 77
63 82 61
68 77 61
82 85 73
69 69 68
72 64 90
64 65 80
80 88 60
68 88 62
71 65 71
68 84 60
67 80 72
89 86 90
80 85 87
84 65 85
71 66 84
71 88 68
80 85 67
90 62 67
87 68 82
79 69 70
77 85 64
67 89 70
74 88 81
81 64 83
67 87 62
73 61 89
72 89 69
73 80 83
71 80 72
86 77 87
87 90 90
70 84 62
62 74 65
88 65 74
88 76 62
70 64 85
68 77 90
66 82 70
75 66 68
85 90 77
82 62 63
74 67 74
85 81 72
88 84 84
82 64 84
77 60 60
80 77 67
75 83 68
79 60 74
88 63 60
86 90 80
81 61 60
65 85 77
71 84 89
87 79 79
78 82 87
84 84 64
65 80 67
67 89 62
85 61 90
85 74 64
62 88 65
87 60 85
86 68 90
90 84 70
77 77 60
77 70 62
70 85 66
81 87 87
76 76 90
86 61 60
63 84 82
62 82 63
64 65 63
83 82 89
65 75 80
71 72 90
89 65 60
88 72 71
89 65 72
82 68 81
74 84 79
88 72 64
69 61 76
79 90 64
63 62 68
89 64 67
72 81 67
72 89 61
80 85 60
90 74 72
82 65 73
82 69 65
72 84 67
63 66 64
81 71 64
77 77 89
85 76 84
76 90 83
88 73 76
88 84 75
61 72 64
72 61 81
80 87 76
80 78 68
66 81 74
75 72 87
88 89 61
69 83 80
64 60 70
78 61 64
84 66 76
69 65 85
89 77 84
62 83 81
70 86 86
74 72 85
81 82 90
70 67 60
67 72 61
73 62 69
72 84 85
60 62 79
73 66 69
70 74 87
77 64 66
89 76 79
65 80 82
89 90 80
79 89 90
64 85 60
61 82 82
71 60 82
60 62 82
64 68 75
79 83 89
86 80 69
68 77 83
62 65 60
84 70 62
77 81 85
72 71 88
64 81 88
60 74 84
70 78 87
65 70 74
63 83 65
88 74 68
78 79 75
76 77 89
77 60 66
70 82 85
89 63 73
83 86 62
69 62 71
88 75 62
74 63 87
62 89 66
77 75 82
79 66 69
63 69 77
86 70 81
63 82 74
86 78 76
67 74 83
75 86 78
70 81 65
87 78 86
61 84 79
85 74 80
73 83 64
64 60 60
69 66 88
67 68 63
84 68 80
73 65 69
73 83 63
65 85 89
89 71 66
60 89 61
81 72 75
66 65 61
84 73 87
63 67 68
86 71 78
78 61 77
80 70 63
84 71 71
79 88 82
76 69 63
87 87 74
85 72 85
76 66 64
70 89 62
79 87 65
84 64 90
68 67 68
60 80 84
85 78 78
71 71 73
78 62 88
61 84 65
82 65 70
71 79 88
87 69 69
79 88 72
90 67 88
86 85 73
81 80 80
80 64 60
85 88 82
61 90 70
79 70 64
68 76 86
83 69 75
87 80 76
90 84 65
84 72 62
60 74 88
90 63 76
86 64 66
80 70 80
67 82 65
71 70 90
77 88 78
65 83 65
69 72 75
81 65 66
73 73 79
77 85 85
70 68 73
66 90 63
79 69 90
64 67 84
83 79 84
78 87 79
66 81 76
69 64 83
79 79 65
68 80 63
75 62 63
60 61 69
68 66 88
87 65 67
77 68 66
67 63 88
78 73 79
73 72 88
62 80 73
78 72 82
87 72 76
64 80 89
80 89 74
79 74 60
88 82 64
87 63 82
90 86 79
62 67 72
88 74 77
63 79 87
70 80 85
62 64 75
73 76 65
71 61 82
71 61 81
82 64 61
85 71 76
76 90 88
76 88 80
77 74 85
77 77 83
90 74 65
72 64 68
75 77 76
90 60 73
78 62 82
81 81 80
89 81 73
77 81 70
61 83 72
75 78 75
72 61 69
61 78 76
80 79 77
90 81 90
63 82 88
77 76 80
83 61 66
61 73 64
82 70 90
86 66 74
74 75 80
82 71 81
88 66 64
65 85 76
83 90 74
86 73 79
77 66 74
67 75 69
61 84 80
69 62 70
76 66 64
72 73 90
86 79 87
65 80 79
71 63 63
67 81 69
86 67 83
73 78 65
87 78 67
78 83 76
80 75 80
88 69 63
79 67 83
74 70 60
64 66 90
89 74 62
70 72 62
88 81 80
78 71 85
79 62 65
61 90 63
78 60 71
77 90 64
73 65 70
78 75 67
62 86 84
60 87 70
65 87 72
72 80 83
70 60 79
83 87 84
76 90 78
63 88 80
80 70 61
74 63 75
77 88 80
70 61 88
64 70 89
85 81 63
76 66 74
89 89 87
77 88 72
60 66 83
86 76 75
75 74 81
80 62 67
68 63 60
84 74 69
73 79 69
83 64 70
83 78 70
88 76 76
82 89 89
73 74 80
72 74 61
75 87 71
69 70 67
81 67 84
73 70 65
86 78 83
86 77 68
85 70 70
89 70 74
66 69 66
65 75 86
73 60 67
79 89 74
89 68 80
69 70 68
87 77 70
77 82 65
88 82 61
75 74 82
80 79 88
66 81 69
78 82 83
66 67 85
70 85 63
73 73 65
88 81 85
71 63 77
76 66 67
69 64 61
64 87 80
70 66 60
67 63 90
80 60 79
68 82 66
78 87 72
88 77 80
82 77 76
74 63 76
77 73 90
90 66 90
73 80 79
64 82 69
90 69 73
60 80 79
69 69 85
78 87 73
85 68 87
79 66 70
75 70 70
73 67 65
79 71 85
62 75 71
67 78 79
64 83 86
82 68 88
67 64 70
82 88 86
83 83 71
77 77 82
84 66 63
78 80 89
63 86 76
73 82 80
88 69 74
86 68 81
74 78 73
63 88 71
77 74 86
64 75 85
87 77 67
72 67 72
87 89 70
62 81 65
63 74 79
66 78 66
67 68 65
90 86 77
84 89 76
79 67 83
62 63 67
72 72 65
69 84 81
66 80 90
81 82 70
60 76 71
81 64 84
76 81 66
60 81 77
87 61 72
78 67 86
78 81 62
71 79 80
87 60 90
64 69 84
75 88 90
74 80 71
83 76 69
88 87 67
83 75 67
81 66 80
64 74 89
88 84 74
83 90 90
61 64 89
84 84 73
64 70 85
60 86 81
82 83 83
73 82 69
73 89 78
76 69 79
77 84 89
79 69 84
70 60 85
80 90 86
72 87 88
76 70 72
63 62 66
74 77 65
64 74 84
77 60 68
77 69 87
74 89 74
90 82 88
80 73 89
63 66 70
71 90 89
69 87 78
61 74 87
67 76 60
69 64 61
90 67 79
82 89 69
88 76 70
82 61 77
74 82 71
62 61 66
79 64 62
70 60 78
61 81 84
68 78 77
70 70 72
70 76 69
87 69 65
86 90 74
66 74 73
68 87 68
60 90 86
63 81 81
65 90 81
62 61 83
87 68 85
65 86 75
65 69 79
86 70 62
87 62 86
77 60 64
78 61 64
69 87 72
88 77 60
88 66 71
87 63 87
81 73 61
65 76 81
85 75 69
60 83 72
60 69 86
85 63 71
82 82 68
78 75 82
89 87 64
65 89 77
74 61 72
75 85 78
60 79 70
81 84 89
66 68 87
85 75 60
81 60 62
77 89 81
62 66 70
90 89 78
78 61 70
86 76 88
64 80 73
72 66 62
70 78 72
86 62 66
79 78 79
87 76 65
79 86 72
66 79 72
71 62 64
72 89 61
84 62 68
84 61 64
76 70 81
78 86 62
85 68 69
63 77 90
73 88 90
71 65 78
69 84 84
65 69 71
74 90 60
67 88 73
62 80 81
77 63 62
84 71 84
89 64 81
68 60 90
79 78 60
84 74 87
84 72 68
85 75 70
78 74 89
77 60 68
87 82 69
75 60 67
88 63 66
72 68 75
84 74 62
80 88 74
67 87 78
80 76 67
88 75 60
75 69 72
66 87 77
75 75 60
83 65 76
74 88 84
70 72 81
88 82 78
74 81 60
81 66 81
71 83 65
87 68 88
76 86 75
71 74 71
62 61 77
83 75 64
69 72 64
87 70 88
70 88 65
75 79 68
75 62 63
76 81 75
68 62 76
63 86 88
61 65 88
73 74 63
74 90 66
78 79 71
63 80 79
62 60 64
65 73 66
61 86 77
63 63 77
64 69 64
90 67 62
74 65 64
90 74 85
67 63 73
72 89 72
72 83 88
90 77 60
87 79 88
89 84 71
76 74 61
83 65 77
78 69 76
79 61 83
86 81 66
63 85 67
77 63 69
60 64 89
60 60 73
77 87 86
73 64 67
79 61 68
89 63 84
67 74 77
80 86 89
60 67 73
64 75 72
78 68 65
61 74 87
76 72 63
72 61 62
78 87 79
63 89 62
83 78 72
83 65 75
69 75 87
74 73 87
73 85 60
64 65 64
84 68 63
63 89 87
74 88 61
63 75 71
68 74 85
81 90 89
83 61 71
68 69 62
76 66 79
77 82 73
78 74 84
85 86 88
68 72 86
67 84 81
61 65 87
63 70 66
76 63 81
78 83 79
89 86 67
74 71 72
81 82 79
85 83 60
68 65 68
76 71 66
67 66 80
72 84 80
74 86 76
65 67 73
69 66 85
77 86 74
67 78 74
77 80 73
89 71 65
66 65 87
89 90 69
87 78 79
88 84 73
78 82 81
87 81 69
77 77 61
61 61 74
72 67 69
79 74 65
71 80 78
86 66 85
83 81 71
82 77 78
70 64 85
80 70 86
75 64 73
87 90 71
78 65 62
87 80 80
76 74 76
68 72 78
88 86 83
60 78 68
88 77 62
66 83 71
72 63 79
73 75 66
80 63 84
63 78 90
65 88 71
80 63 83
65 77 87
68 88 65
65 90 70
68 72 89
82 79 85
80 64 80
66 72 83
86 86 75
83 83 73
66 70 65
86 87 64
71 67 64
65 81 69
68 71 61
72 76 64
81 74 62
60 61 73
70 80 86
66 86 60
67 84 68
77 85 74
85 76 81
63 60 60
83 85 83
64 80 66
71 87 72
84 73 82
70 81 62
85 82 64
84 80 65
76 87 63
64 73 84
60 64 67
72 66 82
79 73 74
62 78 89
89 73 76
73 76 64
66 86 74
77 62 67
79 66 84
88 80 85
68 75 72
60 90 81
80 80 70
76 63 72
67 65 70
78 79 66
86 89 87
74 60 89
67 81 63
73 60 72
78 87 89
65 74 83
90 80 65
64 69 62
76 70 64
69 76 67
88 75 62
77 79 86
70 75 63
76 83 89
90 76 68
87 66 72
81 83 62
87 69 77
60 76 87
67 84 73
66 80 89
90 79 87
61 70 88
65 76 63
62 64 81
63 86 67
76 68 88
71 86 84
64 70 74
68 71 80
87 77 81
88 67 72
75 77 89
73 68 78
89 84 77
60 61 79
79 77 84
76 73 90
63 60 87
67 89 86
90 80 78
75 89 63
64 87 73
62 60 82
62 89 88
64 65 81
73 60 68
75 83 62
82 79 71
87 84 71
64 83 75
85 87 62
85 82 84
80 87 60
81 62 83
79 80 69
66 64 82
88 80 90
80 63 76
83 88 67
85 81 84
84 77 77
88 76 85
66 67 90
71 71 79
70 90 63
73 73 77
65 77 61
88 71 81
61 81 82
67 75 66
70 67 66
69 88 87
71 66 74
65 82 62
88 78 68
71 88 68
87 87 87
83 79 79
71 74 89
81 81 67
80 66 81
79 72 69
85 67 69
80 75 87
60 81 72
61 89 60
86 66 85
75 65 86
65 80 63
76 65 79
63 65 87
76 87 66
64 71 83
79 72 82
78 86 78
83 84 89
77 78 88
65 61 89
64 84 73
77 67 86
64 60 87
77 68 71
77 82 90
61 80 74
71 88 71
64 87 67
83 77 78
73 78 79
83 60 67
65 60 61
77 81 70
71 80 70
71 72 87
77 72 78
70 62 72
88 79 89
87 80 84
70 71 75
90 65 64
66 82 89
82 62 71
68 81 73
79 90 74
80 71 65
79 82 76
69 89 71
75 71 70
68 62 77
80 79 67
85 78 79
60 82 78
70 84 67
74 73 80
83 70 90
83 84 80
67 80 84
64 85 73
67 71 89
90 63 79
78 64 87
73 69 72
60 76 74
89 63 80
66 66 87
82 77 76
75 83 72
63 70 66
70 71 82
60 62 72
63 77 85
79 68 77
61 71 66
74 85 75
87 78 66
75 66 68
77 79 80
73 88 86
63 72 60
84 90 63
70 67 85
90 68 69
80 76 73
61 68 73
80 68 61
89 90 62
86 71 89
63 73 85
71 61 82
68 75 80
89 82 63
82 68 76
62 63 73
83 88 68
64 75 74
89 77 69
60 86 63
71 68 70
88 86 72
83 66 79
65 89 63
79 62 88
78 70 76
72 61 60
78 90 89
88 83 67
86 72 67
71 76 84
88 81 61
88 61 70
76 68 65
83 88 62
76 82 66
84 78 61
89 66 66
78 72 67
80 71 85
83 66 90
77 71 63
60 66 72
88 83 90
65 68 64
63 60 74
78 72 84
90 71 70
77 83 76
76 76 73
81 74 72
62 70 73
76 83 79
83 61 80
87 71 78
70 87 61
90 81 81
77 86 86
76 71 60
87 64 84
61 67 87
84 65 73
75 66 60
73 90 69
77 81 87
84 67 82
61 74 81
65 76 66
66 74 74
69 86 69
65 71 67
67 62 88
78 83 73
82 68 82
62 86 81
64 87 69
68 72 83
74 79 74
65 72 86
68 77 68
81 82 74
71 88 86
69 61 73
83 75 66
81 77 80
84 76 72
74 63 84
85 76 79
76 90 69
89 82 77
89 69 61
60 70 61
67 79 67
78 82 88
64 70 67
87 84 84
69 72 87
78 75 72
63 67 82
81 72 79
86 81 86
66 75 71
78 67 66
62 76 66
79 75 81
73 86 85
72 69 86
68 63 65
62 90 90
67 60 60
67 88 77
73 62 85
80 76 65
85 84 61
72 84 61
66 88 68
72 79 81
63 66 88
65 71 61
71 87 73
78 82 74
90 87 73
85 60 83
72 65 61
81 66 82
64 69 74
65 76 68
60 89 70
77 84 85
84 79 86
79 82 60
79 66 86
64 66 61
64 85 71
81 66 85
74 70 65
82 79 74
71 63 86
73 74 68
77 63 61
85 72 68
90 88 71
75 75 83
63 84 67
65 84 85
65 80 88
88 61 71
74 77 83
71 66 88
67 68 62
86 66 85
67 81 84
73 89 87
60 68 76
90 88 64
85 62 80
81 78 74
78 61 65
76 74 67
82 67 81
69 82 69
77 60 71
75 79 83
61 66 64
60 65 60
72 64 67
70 81 81
75 72 73
66 63 65
82 77 73
75 65 86
71 87 74
80 80 74
87 61 80
87 75 63
76 87 74
88 67 71
60 83 66
86 69 61
86 60 85
86 62 71
89 61 73
69 87 83
64 66 66
75 66 79
70 80 69
84 75 86
67 74 86
67 60 90
71 88 90
81 81 82
61 76 67
88 83 79
64 73 66
76 72 66
60 76 85
82 75 68
80 76 64
84 88 60
70 67 81
79 75 85
61 78 88
64 78 72
80 87 60
67 67 82
74 66 78
83 66 78
73 81 81
81 77 89
83 87 80
62 66 76
62 60 60
80 72 79
68 62 76
83 65 83
84 81 78
87 79 68
90 66 64
69 66 90
77 77 68
65 75 85
80 76 88
82 60 90
60 78 77
78 64 66
89 73 90
72 78 80
69 81 63
62 64 65
72 62 88
64 82 86
82 64 70
66 72 68
78 84 85
60 66 75
80 73 68
60 90 90
80 66 74
60 64 71
63 70 83
90 81 63
81 86 84
82 72 88
72 84 87
73 87 65
71 77 76
67 78 81
79 60 87
71 72 77
69 84 63
65 77 81
60 85 84
78 87 82
80 81 64
64 88 87
67 67 76
65 68 72
90 76 89
62 89 64
64 88 78
63 74 61
61 89 67
78 83 65
65 72 77
80 68 67
66 86 66
79 82 72
90 86 88
67 68 90
61 70 70
74 72 81
77 80 68
89 61 77
75 88 73
79 84 60
82 85 90
80 80 66
87 80 80
78 70 69
82 70 60
68 83 70
88 60 60
60 76 60
67 62 70
84 63 76
68 76 64
89 82 67
90 81 86
76 69 79
71 77 64
74 71 66
87 75 60
75 90 62
73 64 71
60 87 85
82 71 89
64 85 78
79 79 83
88 61 67
78 69 61
77 81 71
78 60 63
63 89 90
63 87 78
63 82 85
86 72 79
74 73 70
63 71 65
82 70 67
89 71 63
73 64 78
82 90 69
86 67 75
86 75 66
85 84 77
80 69 78
72 82 65
74 67 75
62 64 71
74 81 88
78 70 87
67 61 73
88 60 69
85 85 65
90 74 69
73 61 83
68 75 71
69 69 80
88 66 90
73 72 67
78 73 70
68 71 62
79 89 63
87 71 85
74 72 63
78 77 80
74 65 80
89 71 84
81 78 64
64 67 80
87 60 69
81 62 65
81 79 68
86 62 68
84 63 62
69 89 67
80 62 72
83 78 68
76 83 90
72 71 65
88 76 72
70 75 66
84 75 82
77 61 83
90 76 68
90 90 62
81 68 63
71 72 78
78 76 86
60 60 84
62 88 63
66 89 75
75 70 84
80 79 60
63 64 69
88 84 73
81 62 78
71 86 84
67 87 71
60 88 76
79 77 66
85 73 82
71 61 88
72 88 75
77 66 70
84 90 75
78 68 90
78 72 69
71 60 68
85 90 64
78 66 82
83 76 62
67 78 84
64 81 63
64 80 85
81 63 83
75 90 73
70 90 80
85 64 80
63 81 80
66 76 65
86 78 63
62 71 62
63 87 61
86 73 81
79 70 71
78 75 69
60 70 85
67 67 76
89 66 83
80 76 84
87 79 62
70 72 69
72 84 70
74 63 62
86 62 77
87 78 62
71 85 76
76 61 87
76 63 74
81 70 90
65 81 64
78 60 81
64 71 64
67 88 63
63 87 79
65 66 76
81 79 83
62 81 81
70 71 80
60 67 80
65 60 82
88 81 62
83 63 68
87 70 63
73 75 90
85 88 72
66 83 86
80 87 73
77 78 78
84 78 83
83 81 70
79 89 66
90 75 86
70 87 78
61 85 89
85 87 87
64 75 85
72 66 74
62 85 79
61 79 63
60 79 79
78 63 63
68 76 79
68 88 82
69 85 86
63 68 73
69 66 83
78 86 84
76 76 81
76 63 86
76 67 60
62 84 63
86 78 80
61 61 81
63 60 70
74 84 61
67 84 67
65 77 90
87 88 77
63 67 66
79 76 86
68 64 79
84 60 81
69 85 78
81 80 78
61 84 80
63 76 78
85 89 65
72 61 62
86 86 87
81 70 63
82 60 88
84 61 60
61 64 88
78 64 74
84 74 62
77 85 77
62 74 70
68 88 63
80 75 69
63 63 80
62 88 89
69 88 66
75 84 81
66 61 88
64 82 75
60 69 67
84 69 81
69 61 81
63 90 75
89 60 62
87 82 74
73 65 77
72 64 65
60 60 76
66 72 75
64 62 65
64 78 73
63 80 76
69 70 73
78 62 63
78 81 75
62 86 87
88 90 84
79 76 66
65 74 89
90 79 66
90 76 89
63 81 67
85 75 79
72 65 87
87 73 69
74 88 75
90 85 74
78 60 82
77 79 76
69 78 71
60 64 66
79 76 86
89 81 65
82 75 77
88 72 61
74 87 74
61 73 66
89 87 68
87 60 81
90 87 65
74 69 66
87 63 70
60 70 74
66 86 90
83 69 60
78 64 72
87 60 61
78 78 61
73 64 86
63 61 84
90 74 61
84 85 60
86 79 76
79 83 71
80 73 83
89 74 82
89 86 68
84 88 87
63 61 69
70 64 74
60 64 71
64 72 75
69 70 67
72 86 87
76 77 61
83 67 66
65 70 82
69 87 62
80 71 63
69 80 78
75 72 78
84 62 90
79 74 87
85 63 63
78 66 80
86 68 82
63 89 73
64 60 73
85 82 63
85 60 89
83 78 74
63 70 61
74 80 69
78 85 80
81 89 90
67 66 64
84 63 70
84 89 82
81 61 68
63 61 66
76 60 76
71 76 89
85 64 70
70 85 81
63 63 81
69 69 75
74 89 64
60 67 76
83 90 70
89 88 82
90 86 86
80 63 65
78 68 65
81 76 61
67 64 61
67 68 73
74 81 68
85 79 63
71 71 70
74 88 85
86 85 82
74 74 85
70 70 61
65 62 74
88 62 60
82 82 63
85 64 71
72 61 86
90 65 67
69 87 84
72 90 86
61 66 66
72 73 75
66 84 88
76 89 63
84 78 78
88 72 68
85 86 62
80 77 77
75 72 62
84 83 90
76 86 67
74 61 83
77 74 80
70 87 74
86 81 64
86 77 78
89 76 86
75 65 85
87 67 72
64 83 85
67 76 75
64 73 71
88 67 74
61 83 85
64 60 85
71 63 68
71 68 72
60 65 81
79 62 83
77 68 78
86 68 62
70 75 62
68 80 77
61 70 81
84 63 77
62 77 61
67 63 72
79 77 68
71 82 84
79 87 64
74 89 68
90 76 84
63 69 81
80 64 82
66 89 81
89 79 86
86 83 84
86 68 68
84 85 76
82 62 89
67 79 67
84 71 74
81 88 88
90 61 87
68 85 64
64 74 79
76 85 71
69 64 85
69 90 81
65 68 60
74 60 73
62 84 82
61 79 81
82 90 63
79 84 71
87 64 84
73 81 78
69 76 88
63 69 78
71 70 72
74 65 89
65 66 88
71 77 76
70 73 83
66 67 68
83 84 82
63 62 82
75 77 85
60 73 84
65 71 62
86 63 63
78 81 83
82 85 65
86 85 82
75 62 82
87 85 89
70 73 80
77 74 73
86 89 78
62 61 69
68 69 80
76 66 87
82 83 62
61 71 85
65 64 81
81 74 74
60 74 66
63 64 65
79 79 87
76 85 72
70 75 79
81 87 81
70 87 71
89 65 64
60 85 63
76 63 75
68 79 87
80 76 89
83 64 88
84 67 87
72 65 89
88 88 80
83 74 84
62 83 61
84 84 64
66 65 67
75 71 87
87 70 60
71 90 86
85 72 67
80 69 62
90 63 69
66 64 82
63 87 62
73 74 66
62 72 89
84 62 87
87 63 88
80 69 74
75 84 74
64 81 69
72 74 63
83 77 70
76 63 75
79 70 71
87 68 63
89 71 85
88 60 72
76 88 70
88 61 80
69 87 72
77 83 60
79 74 74
70 72 82
71 72 61
85 88 64
63 88 73
78 68 64
75 66 65
65 60 76
80 60 87
82 73 73
68 80 89
90 65 86
62 68 63
81 66 68
77 81 89
61 69 80
64 66 88
67 86 67
65 73 83
68 60 73
75 76 63
84 60 72
89 69 69
74 77 66
64 65 86
66 86 72
76 61 87
80 72 81
81 69 64
68 63 62
88 71 66
89 83 69
73 62 61
82 70 76
63 89 75
78 62 62
71 82 83
68 68 86
89 86 87
66 62 72
66 80 88
77 71 69
79 67 75
76 90 60
82 60 67
84 77 69
81 80 61
75 85 78
69 60 79
72 60 69
72 65 63
84 80 76
66 62 71
68 72 80
64 87 63
77 64 89
70 83 68
70 74 60
79 90 65
60 70 78
86 90 65
63 86 89
88 61 64
67 60 79
86 64 66
72 71 86
79 71 86
61 87 90
72 68 87
60 65 70
90 62 76
81 71 68
88 74 69
72 70 74
79 82 63
69 89 73
88 72 68
76 83 79
76 71 60
76 67 73
80 67 65
83 77 82
67 67 61
79 75 66
87 67 72
78 73 65
75 60 78
73 82 90
75 89 62
60 67 65
79 78 75
77 63 84
78 81 81
75 85 90
67 75 67
87 65 79
63 65 72
69 75 87
86 86 77
77 76 60
85 68 81
67 89 78
76 84 80
90 90 61
65 88 86
75 76 66
86 74 87
80 86 88
79 78 80
75 68 85
75 68 87
81 68 65
73 82 60
71 78 81
85 65 75
84 77 68
72 64 66
74 69 75
68 70 83
82 86 64
82 61 72
64 64 71
84 74 80
67 85 83
90 67 79
85 78 90
69 61 81
84 62 61
78 83 69
60 79 81
77 73 81
63 77 63
83 73 73
75 63 76
87 63 82
86 80 66
82 90 76
68 63 71
89 89 89
80 76 76
61 64 81
87 72 72
72 76 79
83 68 90
86 66 75
88 80 85
86 84 73
79 70 70
85 69 86
63 64 78
69 87 62
68 64 63
79 70 73
89 76 90
83 67 78
76 71 66
90 64 70
81 86 72
66 87 63
84 65 70
64 67 66
85 80 70
74 60 69
83 62 60
77 81 84
82 67 60
76 71 65
74 70 80
77 60 70
90 69 87
74 86 63
75 74 90
87 61 76
77 73 64
63 67 68
69 67 85
68 75 81
64 61 67
83 88 76
75 82 61
79 68 82
84 65 72
60 73 76
61 85 78
80 87 72
64 77 84
81 76 71
83 62 65
75 88 61
79 60 84
78 61 67
79 86 82
82 66 77
64 87 78
67 84 82
65 77 83
85 64 85
81 82 67
70 80 61
72 77 67
71 61 64
74 61 74
83 65 70
62 73 84
64 65 90
89 69 62
64 89 69
63 70 80
64 61 77
62 86 89
60 60 72
74 79 88
88 61 69
77 65 61
84 79 84
67 70 85
62 69 62
62 78 60
69 66 86
79 74 83
66 90 66
85 69 84
69 63 83
64 65 80
64 77 85
62 82 81
80 65 74
88 83 69
75 88 77
66 84 77
60 85 88
65 88 79
63 74 65
77 76 72
90 68 74
90 77 85
65 85 74
77 72 84
64 68 80
90 90 73
63 87 67
90 60 76
89 85 84
61 67 81
75 90 69
73 74 68
60 65 68
79 64 69
75 80 66
75 81 75
67 82 81
68 70 72
83 83 60
80 86 65
62 74 90
88 62 64
72 84 85
88 87 60
66 63 79
62 80 74
87 74 81
86 90 74
65 71 76
71 62 67
62 81 72
82 64 73
76 60 62
62 60 84
77 64 85
73 86 70
70 70 71
68 67 66
65 90 88
72 73 68
80 79 80
65 72 67
79 83 81
75 70 79
84 76 73
71 68 65
67 84 89
73 82 76
69 87 65
70 68 61
79 81 68
84 77 69
66 87 65
87 79 84
70 87 69
88 84 88
80 71 81
77 72 74
89 84 65
63 63 79
75 68 68
82 77 69
65 65 62
87 74 65
63 66 69
69 87 85
62 84 87
60 68 88
66 85 76
74 74 73
66 61 87
72 68 71
64 65 68
68 74 90
75 72 65
69 75 74
75 69 65
75 89 71
83 84 83
78 82 86
70 86 69
90 84 75
88 85 70
67 80 89
83 73 78
66 83 86
63 65 71
61 66 84
82 85 80
63 89 89
89 61 77
76 72 75
87 71 76
74 83 71
60 60 76
82 77 73
75 89 64
87 74 60
83 71 87
88 67 88
89 66 62
63 66 73
88 79 82
81 84 65
85 86 81
88 83 86
79 67 75
62 64 65
87 76 69
85 73 61
80 83 86
